source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
paper_default,-1.0,-1.0,,,MAX_RT,100,100,10,0.3,0.01,1.0,t-test,bounded,2
paper_default,-1.0,-1.0,,,MAX_RT,2000,100,10,0.3,0.01,1.0,t-test,bounded,2
paper_default,-1.0,-1.0,,,MAX_RT,100,100,10,0.7,0.01,1.0,t-test,bounded,2
paper_default,-1.0,-1.0,,,MAX_RT,2000,100,10,0.7,0.01,1.0,t-test,bounded,2
recommendation_system,0.8658333333333333,0.5257544509231828,0.58,127.0,Completed,442,2191,2874,0.90258759832941,0.0273817116338759,6.0717816198430965,t-test,bounded,1
recommendation_system,0.875,0.5118726916118892,0.58,118.0,Completed,442,2191,2874,0.90258759832941,0.0273817116338759,6.0717816198430965,ks-test,bounded,1
recommendation_system,0.877037037037037,0.4921653529709739,0.58,1274.0,Completed,804,2516,509,0.9428810516484082,0.1822604517452418,6.954192960400135,ks-test,bounded,2
recommendation_system,0.91,0.454415597641835,0.58,173.0,Completed,1831,1285,2382,0.6058607224840671,0.7254279358759522,7.24473244900629,ks-test,bounded,1
recommendation_system,0.9158333333333334,0.3866833638959393,0.58,3158.0,Completed,4113,751,4678,0.5233710459265858,0.0333032859731465,5.2358883095504725,ks-test,bounded,2
recommendation_system,0.9175925925925926,0.3682152052380805,0.58,2414.0,Completed,4529,1020,644,0.7220239394567907,0.6070857562478632,1.7315643050828948,ks-test,bounded,2
recommendation_system,0.8633333333333333,0.4939712641233268,0.58,107.0,Completed,60,4822,4989,0.9697395492717624,0.7638754325136542,0.1137456154869869,ks-test,bounded,1
recommendation_system,0.8725,0.4791591689523503,0.58,131.0,Completed,556,2863,4170,0.7985940316487103,0.7390177145004272,0.9501950187534094,t-test,bounded,1
recommendation_system,0.8916666666666667,0.4452478286310207,0.58,1329.0,Completed,3622,2563,3252,0.8573563937824219,0.8782201853003353,5.931991676568986,t-test,bounded,2
recommendation_system,0.9,0.4445971395406011,0.58,119.0,Completed,1915,3461,4703,0.5544808551594615,0.5678847092669457,5.629891570422799,ks-test,bounded,1
recommendation_system,0.9023148148148148,0.4323381637612626,0.58,114.0,Completed,1410,3892,423,0.5160472056157887,0.4872209697533399,1.2891370107727125,ks-test,bounded,1
recommendation_system,0.9066666666666666,0.4022454122934217,0.58,2057.0,Completed,4023,1294,3859,0.6913871463239193,0.4635902949962765,6.119997737683357,ks-test,bounded,2
recommendation_system,0.85,0.4913580325381128,0.58,77.0,Completed,60,4822,4989,0.9697395492717624,0.7638754325136542,0.1137456154869869,t-test,bounded,1
recommendation_system,0.8547222222222223,0.4910687530114878,0.58,95.0,Completed,1061,4465,940,0.7707514032628388,0.3152917203642428,6.588887397252956,t-test,bounded,1
recommendation_system,0.865,0.4791980388415713,0.58,94.0,Completed,2451,4170,4275,0.7224665045905858,0.9348219825085252,5.418322303422728,t-test,bounded,1
recommendation_system,0.8692901234567902,0.4650924319197957,0.58,108.0,Completed,700,1922,1804,0.8519836757555604,0.5856004125680775,1.9205454099848869,t-test,bounded,1
recommendation_system,0.8866666666666667,0.4600704242542464,0.58,85.0,Completed,2451,4170,4275,0.7224665045905858,0.9348219825085252,5.418322303422728,ks-test,bounded,1
recommendation_system,0.8961111111111112,0.4407566966935619,0.58,201.0,Completed,1305,735,1641,0.6863752418532968,0.7775670948177577,6.400958963424899,ks-test,bounded,1
recommendation_system,0.9,0.4366136844030491,0.58,1241.0,Completed,3622,2563,3252,0.8573563937824219,0.8782201853003353,5.931991676568986,ks-test,bounded,2
recommendation_system,0.9058333333333334,0.3928446971475742,0.58,1631.0,Completed,3888,3137,2575,0.6043578740768134,0.8007098774686455,1.2327624755986035,ks-test,bounded,2
