source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
benchmark_pareto,0.91,0.0,0.91,0.0,Completed,2361.0,2409.0,534.0,28.0,26.0
benchmark_pareto,0.92,1.0,0.92,1.0,Completed,37.0,73.0,698.0,22.0,3.0
benchmark_max_rt,,144.0,,63.0,Completed,5000.0,1.0,437.0,250.0,1.0
benchmark_min_acc,0.88,,0.88,,Completed,1.0,1.0,628.0,250.0,1.0
paper_default,-1.0,-1.0,0.91,3.0,Completed,2000.0,400.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000.0,800.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000.0,1200.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000.0,1600.0,20.0,50.0,3.0
paper_default,-1.0,-1.0,0.91,0.0,Completed,2000.0,2000.0,20.0,50.0,3.0
recommendation_system,0.4679708406060669,0.8238886424595057,0.91,0.0,Completed,1.0,1.0,762.0,205.0,10.0
recommendation_system,0.4947282394032727,0.8047441123328906,0.91,0.0,Completed,1.0,12.0,798.0,201.0,11.0
recommendation_system,0.4968220438877976,0.7989290325027837,0.91,0.0,Completed,7.0,1.0,721.0,218.0,14.0
recommendation_system,0.5137857281075668,0.7868624629416414,0.88,0.0,Completed,2.0,5.0,803.0,212.0,27.0
recommendation_system,0.5223713510308333,0.7776886034271262,0.91,0.0,Completed,8.0,14.0,763.0,212.0,15.0
recommendation_system,0.523660335282377,0.7704580551960534,0.91,0.0,Completed,13.0,7.0,672.0,213.0,39.0
recommendation_system,0.5264952080449035,0.7686424125313412,0.92,0.0,Completed,43.0,3.0,666.0,217.0,12.0
recommendation_system,0.5378560307264668,0.7653220522733029,0.91,0.0,Completed,6.0,36.0,611.0,210.0,12.0
recommendation_system,0.5591906724607872,0.7448375295200091,0.91,0.0,Completed,21.0,19.0,742.0,196.0,3.0
recommendation_system,0.5983313634347271,0.7197922699274144,0.92,0.0,Completed,144.0,31.0,930.0,225.0,31.0
recommendation_system,0.6075305600761144,0.7150510137681327,0.92,0.0,Completed,52.0,32.0,638.0,202.0,2.0
recommendation_system,0.611062963979275,0.7084952624695693,0.91,1.0,Completed,124.0,16.0,859.0,225.0,2.0
recommendation_system,0.6238872222579965,0.7054734943854839,0.92,0.0,Completed,2514.0,86.0,944.0,218.0,96.0
recommendation_system,0.6655788242221302,0.6579484349864013,0.92,1.0,Completed,160.0,180.0,654.0,229.0,3.0
recommendation_system,0.6981195312596188,0.6195697726716275,0.91,1.0,Completed,335.0,176.0,566.0,197.0,5.0
recommendation_system,0.7120650618252642,0.5890620790183737,0.91,1.0,Completed,2972.0,208.0,394.0,220.0,33.0
recommendation_system,0.7775299352853882,0.5040655171025099,0.91,0.0,Completed,2739.0,604.0,891.0,223.0,1.0
recommendation_system,0.7819423352680218,0.5009884744029471,0.91,1.0,Completed,2736.0,506.0,883.0,216.0,1.0
recommendation_system,0.7894421345340649,0.4549252290262233,0.91,0.0,Completed,3214.0,615.0,262.0,244.0,2.0
recommendation_system,0.7975148949915685,0.4198375788387229,0.91,0.0,Completed,3081.0,1371.0,578.0,231.0,1.0
