index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
0,0.3304869233268355,0.8578904417578912,1557.0,3.0,3.0,793.0,195.0
1,0.3332199480181935,0.8552082092630928,1634.0,3.0,8.0,790.0,192.0
2,0.3390904808317085,0.8452082150988987,1824.0,3.0,26.0,786.0,177.0
3,0.5352867121507469,0.8133542529331708,1888.0,46.0,34.0,841.0,189.0
4,0.542481643924626,0.7658359329698138,1126.0,53.0,71.0,710.0,171.0
5,0.5476342592592588,0.7179166201911726,861.0,53.0,106.0,723.0,172.0
6,0.5649243014944767,0.6829977267139308,1127.0,53.0,212.0,729.0,171.0
7,0.5721349090318386,0.6674249929775519,1132.0,53.0,235.0,763.0,179.0
8,0.5744363222871992,0.66660135178232,1105.0,52.0,250.0,742.0,173.0
9,0.5751732456140347,0.6620304680122207,752.0,52.0,257.0,684.0,111.0
10,0.2809857862248213,0.856254673784005,990.0,3.0,10.0,974.0,240.0
11,0.3085380116959063,0.8541357575081099,1743.0,4.0,5.0,838.0,193.0
12,0.512955977907732,0.8121815845438622,1714.0,48.0,32.0,850.0,202.0
13,0.5279450129954512,0.8026205721849954,655.0,52.0,27.0,471.0,109.0
14,0.5287291260558801,0.7996288779935986,1665.0,53.0,41.0,816.0,185.0
15,0.541855912930474,0.7852778777362058,1906.0,48.0,23.0,529.0,103.0
16,0.5460383365821959,0.6970920860106584,976.0,53.0,205.0,753.0,179.0
17,0.5659951267056528,0.6760076494939795,752.0,52.0,257.0,706.0,174.0
18,0.5731614684860297,0.6663508344570405,1073.0,53.0,229.0,738.0,172.0
19,0.5736585445094216,0.6639127857243085,1106.0,52.0,255.0,737.0,170.0
